"Year";"Area";"StreetOk"
2011;"Birmingham";"acocks green"
2011;"";"adderly street"
2011;"";"alcester raod, mosley"
2011;"";"alcester road"
2011;"";"alcester road moseley"
2011;"";"alfred street"
2011;"";"all service club, mosley"
2011;"";"alum rock road"
2011;"";"arcadian centre"
2011;"";"arden road, saltley"
2011;"";"asda, chemsley wood"
2011;"";"balsahll heath park, j/w brighton road"
2011;"";"bamford road"
2011;"";"beechbrook avenue sparkhill"
2011;"";"belchers lane"
2011;"";"belchers lane, bordesley green"
2011;"";"bell street"
2011;"";"berkley rd east ,  haymills."
2011;"";"birmingham airport"
2011;"";"birmingham international railway station"
2011;"";"bordesley green"
2011;"";"bordesley green ,  bordesley green."
2011;"";"bristol road"
2011;"";"bristol street"
2011;"";"broad street"
2011;"";"broad street birmingham"
2011;"";"buckland end lane shard end"
2011;"";"bulls head ph, st marys row"
2011;"";"bushbury road, kitts green"
2011;"";"chartice road"
2011;"";"chestnut road"
2011;"";"church rd, stechford"
2011;"";"church road, sheldon"
2011;"";"clifford rd dorridge."
2011;"";"clock lane"
2011;"";"colonial road, bordesley green`"
2011;"";"corporation st,birmingham"
2011;"";"corporation street"
2011;"";"coventry rd small heath"
2011;"";"coventry rd, small heath, bham"
2011;"";"coventry road"
2011;"";"coventry road, small heath"
2011;"";"coventry road,small heath"
2011;"";"cranes park road"
2011;"";"cranes park road sheldon"
2011;"";"crossfield road"
2011;"";"crossfields road kitts green"
2011;"";"cxhurch rd, stechford, bham"
2011;"";"digbeth high street"
2011;"";"edgbaston road"
2011;"";"edward road. moseley"
2011;"";"fighting cox ph"
2011;"";"foremans road, sparkhill"
2011;"";"front office, kings heath"
2011;"";"garretts green road, garretts green"
2011;"";"giles close"
2011;"";"giles close, stechford"
2011;"";"glazedale road"
2011;"";"gospel farm road"
2011;"";"gospel lane"
2011;"";"gospel lane, acocks green"
2011;"";"grace church, sutton coldfield"
2011;"";"great hampton street"
2011;"";"green lane"
2011;"";"greswell lane shard end"
2011;"";"harlequin drive, mosley"
2011;"";"haslucks green road"
2011;"";"hazeldean road"
2011;"";"heartlands hospital"
2011;"";"heartlands hospital a & e."
2011;"";"hepben grove"
2011;"";"herrick road"
2011;"";"herrick road, washwood heath"
2011;"";"high st solihull"
2011;"";"high street kings heath"
2011;"";"high street, kings heath"
2011;"";"hob moor road at starbank road"
2011;"";"holloway head bham city centre"
2011;"";"hollywell road"
2011;"";"home address"
2011;"";"homer street"
2011;"";"hunters moon public house."
2011;"";"hurst street"
2011;"";"hurst street, birmingham"
2011;"";"kings heath high street"
2011;"";"knowle rd, small heath, bham"
2011;"";"ladypool road"
2011;"";"ladywell walk"
2011;"";"lea hall rd"
2011;"";"lea village, stechford"
2011;"";"lenches close, mosley"
2011;"";"lime tree road"
2011;"";"lode lane @ hermitage road"
2011;"";"long street"
2011;"";"long street. sparkhill"
2011;"";"longbridge lane"
2011;"";"longmeadow crescent shard end , bham"
2011;"";"maccadown lane"
2011;"";"masshouse lane"
2011;"";"meadwaym stechford"
2011;"";"mickleover road, bromford"
2011;"";"moorcroft road"
2011;"";"moseley road"
2011;"";"moseley village"
2011;"";"moseley village, alcester road"
2011;"";"mosley all services club, church road, moseley."
2011;"";"nearlands close quinton"
2011;"";"new street"
2011;"";"northfield high street"
2011;"";"o/s behans, highfield road, billesley"
2011;"";"o/s the junction, mosley village"
2011;"";"o/s washwood heath road"
2011;"";"oakhill road, acocks green"
2011;"";"opp white hart lane cooks lane"
2011;"";"opposite, aldi, stratford road"
2011;"";"outside java lounge alcester road"
2011;"";"outside o2 academy night club b'ham city centre"
2011;"";"outside raven public house"
2011;"";"packington avenue, shard end"
2011;"";"park off hob moor road"
2011;"";"parkhall croft"
2011;"";"pear tree ph"
2011;"";"police station"
2011;"";"police station stechford"
2011;"";"poplar road"
2011;"";"poplar road , solihull"
2011;"";"poplar road, solihull"
2011;"";"preston road"
2011;"";"priory road, hall green"
2011;"";"prospect road"
2011;"";"queenswood road"
2011;"";"rear of boots, high street"
2011;"";"reddings lane, tsyley"
2011;"";"richmond primary care centre, richmond road, stechford"
